,ESCMAE,RACACOR,CODOCUPMAE,cluster
0,8 a 11 anos,Branca,Vendedor de comércio varejista,0
1,8 a 11 anos,Branca,Vendedor de comércio varejista,0
2,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
3,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
4,12 e mais,Branca,Vendedor de comércio varejista,1
5,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
6,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
7,8 a 11 anos,Branca,Vendedor de comércio varejista,0
8,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
9,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
10,8 a 11 anos,Branca,Vendedor de comércio varejista,0
11,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
12,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
13,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
14,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
15,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
16,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
17,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
18,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
19,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
20,12 e mais,Branca,Vendedor de comércio varejista,1
21,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
22,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
23,8 a 11 anos,Branca,Vendedor de comércio varejista,0
24,8 a 11 anos,Branca,Vendedor de comércio varejista,0
25,12 e mais,Branca,Vendedor de comércio varejista,1
26,12 e mais,Branca,Vendedor de comércio varejista,1
27,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
28,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
29,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
30,8 a 11 anos,Branca,Vendedor de comércio varejista,0
31,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
32,12 e mais,Branca,Vendedor de comércio varejista,1
33,8 a 11 anos,Branca,Vendedor de comércio varejista,0
34,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
35,8 a 11 anos,Branca,Vendedor de comércio varejista,0
36,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
37,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
38,12 e mais,Branca,Vendedor de comércio varejista,1
39,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
40,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
41,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
42,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
43,12 e mais,Branca,Vendedor de comércio varejista,1
44,8 a 11 anos,Branca,Vendedor de comércio varejista,0
45,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
46,8 a 11 anos,Branca,Vendedor de comércio varejista,0
47,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
48,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
49,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
50,12 e mais,Branca,Vendedor de comércio varejista,1
51,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
52,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
53,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
54,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
55,8 a 11 anos,Branca,Vendedor de comércio varejista,0
56,8 a 11 anos,Branca,Vendedor de comércio varejista,0
57,12 e mais,Branca,Vendedor de comércio varejista,1
58,8 a 11 anos,Branca,Vendedor de comércio varejista,0
59,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
60,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
61,8 a 11 anos,Branca,Vendedor de comércio varejista,0
62,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
63,8 a 11 anos,Branca,Vendedor de comércio varejista,0
64,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
65,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
66,8 a 11 anos,Branca,Vendedor de comércio varejista,0
67,8 a 11 anos,Branca,Vendedor de comércio varejista,0
68,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
69,8 a 11 anos,Branca,Vendedor de comércio varejista,0
70,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
71,12 e mais,Branca,Vendedor de comércio varejista,1
72,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
73,8 a 11 anos,Branca,Vendedor de comércio varejista,0
74,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
75,12 e mais,Branca,Vendedor de comércio varejista,1
76,8 a 11 anos,Branca,Vendedor de comércio varejista,0
77,8 a 11 anos,Branca,Vendedor de comércio varejista,0
78,8 a 11 anos,Branca,Vendedor de comércio varejista,0
79,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
80,12 e mais,Branca,Vendedor de comércio varejista,1
81,8 a 11 anos,Branca,Vendedor de comércio varejista,0
82,8 a 11 anos,Branca,Vendedor de comércio varejista,0
83,8 a 11 anos,Branca,Vendedor de comércio varejista,0
84,8 a 11 anos,Branca,Vendedor de comércio varejista,0
85,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
86,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
87,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
88,8 a 11 anos,Branca,Vendedor de comércio varejista,0
89,8 a 11 anos,Branca,Vendedor de comércio varejista,0
90,12 e mais,Branca,Vendedor de comércio varejista,1
91,12 e mais,Branca,Vendedor de comércio varejista,1
92,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
93,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
94,8 a 11 anos,Branca,Vendedor de comércio varejista,0
95,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
96,8 a 11 anos,Branca,Vendedor de comércio varejista,0
97,8 a 11 anos,Branca,Vendedor de comércio varejista,0
98,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
99,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
100,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
101,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
102,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
103,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
104,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
105,8 a 11 anos,Branca,Vendedor de comércio varejista,0
106,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
107,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
108,12 e mais,Branca,Vendedor de comércio varejista,1
109,12 e mais,Branca,Vendedor de comércio varejista,1
110,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
111,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
112,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
113,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
114,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
115,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
116,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
117,12 e mais,Branca,Vendedor de comércio varejista,1
118,8 a 11 anos,Branca,Vendedor de comércio varejista,0
119,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
120,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
121,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
122,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
123,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
124,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
125,4 a 7 anos,Branca,Vendedor de comércio varejista,0
126,8 a 11 anos,Branca,Vendedor de comércio varejista,0
127,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
128,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
129,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
130,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
131,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
132,8 a 11 anos,Branca,Vendedor de comércio varejista,0
133,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
134,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
135,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
136,8 a 11 anos,Branca,Vendedor de comércio varejista,0
137,8 a 11 anos,Branca,Vendedor de comércio varejista,0
138,8 a 11 anos,Branca,Vendedor de comércio varejista,0
139,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
140,8 a 11 anos,Branca,Vendedor de comércio varejista,0
141,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
142,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
143,8 a 11 anos,Branca,Vendedor de comércio varejista,0
144,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
145,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
146,8 a 11 anos,Branca,Vendedor de comércio varejista,0
147,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
148,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
149,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
150,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
151,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
152,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
153,8 a 11 anos,Branca,Vendedor de comércio varejista,0
154,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
155,12 e mais,Branca,Vendedor de comércio varejista,1
156,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
157,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
158,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
159,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
160,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
161,1 a 3 anos,Branca,Vendedor de comércio varejista,0
162,8 a 11 anos,Branca,Vendedor de comércio varejista,0
163,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
164,8 a 11 anos,Branca,Vendedor de comércio varejista,0
165,4 a 7 anos,Branca,Vendedor de comércio varejista,0
166,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
167,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
168,8 a 11 anos,Branca,Vendedor de comércio varejista,0
169,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
170,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
171,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
172,8 a 11 anos,Branca,Vendedor de comércio varejista,0
173,12 e mais,Branca,Vendedor de comércio varejista,1
174,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
175,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
176,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
177,12 e mais,Branca,Vendedor de comércio varejista,1
178,8 a 11 anos,Branca,Vendedor de comércio varejista,0
179,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
180,8 a 11 anos,Branca,Vendedor de comércio varejista,0
181,8 a 11 anos,Branca,Vendedor de comércio varejista,0
182,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
183,8 a 11 anos,Branca,Vendedor de comércio varejista,0
184,12 e mais,Branca,Vendedor de comércio varejista,1
185,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
186,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
187,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
188,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
189,8 a 11 anos,Branca,Vendedor de comércio varejista,0
190,8 a 11 anos,Branca,Vendedor de comércio varejista,0
191,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
192,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
193,8 a 11 anos,Branca,Vendedor de comércio varejista,0
194,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
195,8 a 11 anos,Branca,Vendedor de comércio varejista,0
196,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
197,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
198,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
199,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
200,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
201,8 a 11 anos,Branca,Vendedor de comércio varejista,0
202,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
203,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
204,8 a 11 anos,Branca,Vendedor de comércio varejista,0
205,8 a 11 anos,Branca,Vendedor de comércio varejista,0
206,12 e mais,Branca,Vendedor de comércio varejista,1
207,8 a 11 anos,Branca,Vendedor de comércio varejista,0
208,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
209,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
210,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
211,12 e mais,Branca,Vendedor de comércio varejista,1
212,12 e mais,Branca,Vendedor de comércio varejista,1
213,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
214,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
215,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
216,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
217,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
218,8 a 11 anos,Branca,Vendedor de comércio varejista,0
219,8 a 11 anos,Branca,Vendedor de comércio varejista,0
220,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
221,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
222,8 a 11 anos,Branca,Vendedor de comércio varejista,0
223,8 a 11 anos,Branca,Vendedor de comércio varejista,0
224,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
225,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
226,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
227,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
228,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
229,8 a 11 anos,Branca,Vendedor de comércio varejista,0
230,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
231,8 a 11 anos,Branca,Vendedor de comércio varejista,0
232,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
233,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
234,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
235,8 a 11 anos,Branca,Vendedor de comércio varejista,0
236,4 a 7 anos,Branca,Vendedor de comércio varejista,0
237,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
238,8 a 11 anos,Branca,Vendedor de comércio varejista,0
239,12 e mais,Branca,Vendedor de comércio varejista,1
240,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
241,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
242,8 a 11 anos,Branca,Vendedor de comércio varejista,0
243,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
244,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
245,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
246,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
247,8 a 11 anos,Branca,Vendedor de comércio varejista,0
248,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
249,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
250,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
251,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
252,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
253,8 a 11 anos,Branca,Vendedor de comércio varejista,0
254,4 a 7 anos,Branca,Vendedor de comércio varejista,0
255,8 a 11 anos,Branca,Vendedor de comércio varejista,0
256,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
257,8 a 11 anos,Branca,Vendedor de comércio varejista,0
258,12 e mais,Branca,Vendedor de comércio varejista,1
259,12 e mais,Branca,Vendedor de comércio varejista,1
260,8 a 11 anos,Branca,Vendedor de comércio varejista,0
261,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
262,8 a 11 anos,Branca,Vendedor de comércio varejista,0
263,8 a 11 anos,Branca,Vendedor de comércio varejista,0
264,8 a 11 anos,Branca,Vendedor de comércio varejista,0
265,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
266,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
267,12 e mais,Branca,Vendedor de comércio varejista,1
268,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
269,8 a 11 anos,Branca,Vendedor de comércio varejista,0
270,8 a 11 anos,Branca,Vendedor de comércio varejista,0
271,8 a 11 anos,Branca,Vendedor de comércio varejista,0
272,8 a 11 anos,Branca,Vendedor de comércio varejista,0
273,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
274,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
275,12 e mais,Branca,Vendedor de comércio varejista,1
276,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
277,8 a 11 anos,Branca,Vendedor de comércio varejista,0
278,8 a 11 anos,Branca,Vendedor de comércio varejista,0
279,8 a 11 anos,Branca,Vendedor de comércio varejista,0
280,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
281,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
282,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
283,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
284,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
285,8 a 11 anos,Branca,Vendedor de comércio varejista,0
286,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
287,8 a 11 anos,Branca,Vendedor de comércio varejista,0
288,8 a 11 anos,Branca,Vendedor de comércio varejista,0
289,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
290,8 a 11 anos,Branca,Vendedor de comércio varejista,0
291,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
292,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
293,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
294,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
295,8 a 11 anos,Branca,Vendedor de comércio varejista,0
296,12 e mais,Branca,Vendedor de comércio varejista,1
297,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
298,8 a 11 anos,Branca,Vendedor de comércio varejista,0
299,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
300,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
301,8 a 11 anos,Branca,Vendedor de comércio varejista,0
302,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
303,8 a 11 anos,Branca,Vendedor de comércio varejista,0
304,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
305,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
306,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
307,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
308,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
309,12 e mais,Branca,Vendedor de comércio varejista,1
310,12 e mais,Branca,Vendedor de comércio varejista,1
311,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
312,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
313,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
314,12 e mais,Branca,Vendedor de comércio varejista,1
315,8 a 11 anos,Branca,Vendedor de comércio varejista,0
316,8 a 11 anos,Branca,Vendedor de comércio varejista,0
317,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
318,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
319,8 a 11 anos,Branca,Vendedor de comércio varejista,0
320,8 a 11 anos,Branca,Vendedor de comércio varejista,0
321,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
322,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
323,8 a 11 anos,Branca,Vendedor de comércio varejista,0
324,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
325,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
326,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
327,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
328,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
329,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
330,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
331,8 a 11 anos,Branca,Vendedor de comércio varejista,0
332,8 a 11 anos,Branca,Vendedor de comércio varejista,0
333,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
334,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
335,8 a 11 anos,Branca,Vendedor de comércio varejista,0
336,8 a 11 anos,Branca,Vendedor de comércio varejista,0
337,8 a 11 anos,Branca,Vendedor de comércio varejista,0
338,8 a 11 anos,Branca,Vendedor de comércio varejista,0
339,8 a 11 anos,Branca,Vendedor de comércio varejista,0
340,8 a 11 anos,Branca,Vendedor de comércio varejista,0
341,12 e mais,Branca,Vendedor de comércio varejista,1
342,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
343,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
344,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
345,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
346,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
347,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
348,8 a 11 anos,Branca,Vendedor de comércio varejista,0
349,12 e mais,Branca,Vendedor de comércio varejista,1
350,8 a 11 anos,Branca,Vendedor de comércio varejista,0
351,8 a 11 anos,Branca,Vendedor de comércio varejista,0
352,12 e mais,Branca,Vendedor de comércio varejista,1
353,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
354,12 e mais,Branca,Vendedor de comércio varejista,1
355,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
356,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
357,8 a 11 anos,Branca,Vendedor de comércio varejista,0
358,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
359,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
360,8 a 11 anos,Branca,Vendedor de comércio varejista,0
361,8 a 11 anos,Branca,Vendedor de comércio varejista,0
362,8 a 11 anos,Branca,Vendedor de comércio varejista,0
363,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
364,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
365,12 e mais,Branca,Vendedor de comércio varejista,1
366,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
367,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
368,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
369,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
370,8 a 11 anos,Branca,Vendedor de comércio varejista,0
371,8 a 11 anos,Branca,Vendedor de comércio varejista,0
372,12 e mais,Branca,Vendedor de comércio varejista,1
373,4 a 7 anos,Branca,Vendedor de comércio varejista,0
374,12 e mais,Branca,Vendedor de comércio varejista,1
375,8 a 11 anos,Branca,Vendedor de comércio varejista,0
376,8 a 11 anos,Branca,Vendedor de comércio varejista,0
377,8 a 11 anos,Branca,Vendedor de comércio varejista,0
378,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
379,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
380,8 a 11 anos,Branca,Vendedor de comércio varejista,0
381,4 a 7 anos,Branca,Vendedor de comércio varejista,0
382,8 a 11 anos,Branca,Vendedor de comércio varejista,0
383,8 a 11 anos,Branca,Vendedor de comércio varejista,0
384,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
385,8 a 11 anos,Branca,Vendedor de comércio varejista,0
386,8 a 11 anos,Branca,Vendedor de comércio varejista,0
387,8 a 11 anos,Branca,Vendedor de comércio varejista,0
388,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
389,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
390,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
391,1 a 3 anos,Preta/Parda,Vendedor de comércio varejista,0
392,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
393,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
394,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
395,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
396,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
397,8 a 11 anos,Branca,Vendedor de comércio varejista,0
398,8 a 11 anos,Branca,Vendedor de comércio varejista,0
399,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
400,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
401,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
402,12 e mais,Branca,Vendedor de comércio varejista,1
403,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
404,12 e mais,Branca,Vendedor de comércio varejista,1
405,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
406,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
407,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
408,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
409,8 a 11 anos,Branca,Vendedor de comércio varejista,0
410,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
411,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
412,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
413,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
414,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
415,8 a 11 anos,Branca,Vendedor de comércio varejista,0
416,12 e mais,Preta/Parda,Vendedor de comércio varejista,0
417,8 a 11 anos,Branca,Vendedor de comércio varejista,0
418,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
419,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
420,8 a 11 anos,Branca,Vendedor de comércio varejista,0
421,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
422,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
423,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
424,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
425,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
426,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
427,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
428,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
429,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
430,8 a 11 anos,Branca,Vendedor de comércio varejista,0
431,8 a 11 anos,Branca,Vendedor de comércio varejista,0
432,8 a 11 anos,Branca,Vendedor de comércio varejista,0
433,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
434,8 a 11 anos,Preta/Parda,Vendedor de comércio varejista,0
435,8 a 11 anos,Branca,Vendedor de comércio varejista,0
436,12 e mais,Branca,Vendedor de comércio varejista,1
437,4 a 7 anos,Preta/Parda,Vendedor de comércio varejista,0
